#,Game Name,Total Visit Count,Game Name (de-emojify)
149,Escape The Office Obby! (READ DESC),143177370,Escape The Office Obby! (READ DESC)
150,Reason 2 Die Awakening,142856192,Reason 2 Die Awakening
151,Wizard Tycoon,142612865,Wizard Tycoon
152,Escape Grandpas House Obby!,142067806,Escape Grandpas House Obby!
153,Escape The School Obby!,138704805,Escape The School Obby!
154,Hotel,137961352,Hotel
155,Rogue Lineage,137459467,Rogue Lineage
156,Paradise Life,137171815,Paradise Life
157,💣Super Bomb Survival,135105210,💣Super Bomb Survival
158,Greenville,133404197,Greenville
159,Airport Tycoon!,133358893,Airport Tycoon!
160,[NEW GUN!] Bad Business 2.31,132400429,[NEW GUN!] Bad Business 2.31
161,Knife Simulator,131621576,Knife Simulator
162,Notoriety,131496066,Notoriety
163,🌟 X2! Magnet Simulator ⚡,130579417,🌟 X2! Magnet Simulator ⚡
164,Freeze Tag💎,128893642,Freeze Tag💎
165,SL,128671016,SL
166,[2x EXP] Beyond Beta,128487839,[2x EXP] Beyond Beta
167,Princess Tycoon,128241569,Princess Tycoon
168,[CMDS] Animations: Mocap,125048472,[CMDS] Animations: Mocap
169,[DESC.] Make a Cake: Back for Seconds!,124219999,[DESC.] Make a Cake: Back for Seconds!
170,Parkour,123853834,Parkour
171,Project JoJo,122361645,Project JoJo
172,Camping 2,122243003,Camping 2
173,Color Craze,121395867,Color Craze
174,Pick A Side,120672156,Pick A Side
175,[YIN / YANG] Ninja Assassin,120498454,[YIN / YANG] Ninja Assassin
176,Super Hero Life II,118342176,Super Hero Life II
177,Don't Press The Button [UPDATE],115850511,Don't Press The Button [UPDATE]
178,TSUNAMI SURVIVAL,115846810,TSUNAMI SURVIVAL
179,Bakers Valley,115152055,Bakers Valley
180,[💸2X COINS] 🐾 Pet Ranch Simulator,114516883,[💸2X COINS] 🐾 Pet Ranch Simulator
181,[Candy!] ICE CREAM SIMULATOR 🍦,113449949,[Candy!] ICE CREAM SIMULATOR 🍦
182,The Floor Is Lava (Original),112077991,The Floor Is Lava (Original)
183,Swordburst 2,111854807,Swordburst 2
184,Roblox Talent Show 🎤,111211973,Roblox Talent Show 🎤
185,House Tycoon,110274506,House Tycoon
186,Football Fusion,110066777,Football Fusion
187,???,109278375,???
188,Thrive to Survive the Disasters! *Version 1.17.2*,109220600,Thrive to Survive the Disasters! *Version 1.17.2*
189,Granny Granny Granny Granny Granny,108195651,Granny Granny Granny Granny Granny
190,[Alpha]steve's one piece,107899771,[Alpha]steve's one piece
191,Entry Point,107014901,Entry Point
192,☄️ SABER UPDATE! 🌑 Superhero Simulator,102605186,☄️ SABER UPDATE! 🌑 Superhero Simulator
193,2 Player Super Hero Tycoon,102477827,2 Player Super Hero Tycoon
194,Airplane 2 [Story] ✈️,102033781,Airplane 2 [Story] ✈️
195,Airplane 3 [Story] ✈️,101007404,Airplane 3 [Story] ✈️
196,Downfall [Sandbox],98598654,Downfall [Sandbox]
197,Power Simulator,98375853,Power Simulator
198,[PVP ⚔️] High School,98164495,[PVP ⚔️] High School
199,Dragon Blox Ultimate,97676373,Dragon Blox Ultimate
200,Egg Farm Simulator,97445165,Egg Farm Simulator
201,MUSCLE SIMULATOR,96386537,MUSCLE SIMULATOR
202,CODE:110Mvisits ⚡Warrior Simulator!💪,95003168,CODE:110Mvisits ⚡Warrior Simulator!💪
203,Wild Revolvers,94632379,Wild Revolvers
204,Hospital Life 🏥,92431999,Hospital Life 🏥
205,Dance Your Blox Off,92033589,Dance Your Blox Off
206,Naval Warfare,91511329,Naval Warfare
207,Roblox Uno,90149559,Roblox Uno
208,Survive The Red Dress Girl,88932333,Survive The Red Dress Girl
209,Impostor [Beta],88480710,Impostor [Beta]
210,Farm World,88199367,Farm World
211,✨TRADING✨ Murder Mystery X,87934418,✨TRADING✨ Murder Mystery X
212,Hoho's Water Park,87755888,Hoho's Water Park
213,🕷️ Spider-Man Simulator,87288514,🕷️ Spider-Man Simulator
214,RoBeats! 🎵 [MMO Rhythm Game],87144024,RoBeats! 🎵 [MMO Rhythm Game]
215,🌲🌹 Sonic Pulse RP || Trial and Lore 🌹🌲,84350835,🌲🌹 Sonic Pulse RP || Trial and Lore 🌹🌲
216,Banana Eats,84185956,Banana Eats
217,⚔️ Tower Heroes,83519282,⚔️ Tower Heroes
218,😱 Giant Survival!,81296837,😱 Giant Survival!
219,(NEW!) Spy Training Obby! (READ DESC),80984441,(NEW!) Spy Training Obby! (READ DESC)
220,Mad Games (v2.32),80418297,Mad Games (v2.32)
221,☁️SKY ISLANDS🏝️ Speed Run Simulator ⚡,79168909,☁️SKY ISLANDS🏝️ Speed Run Simulator ⚡
222,BlockParty 🎉 [#STAYHOME],78613791,BlockParty 🎉 [#STAYHOME]
223,Vacation ✈️ [Story],78292904,Vacation ✈️ [Story]
224,☃️ PETS! Snowman Simulator ☃️,77900413,☃️ PETS! Snowman Simulator ☃️
225,Bloxtropica!,77766403,Bloxtropica!
226,Speed Simulator,77156216,Speed Simulator
227,Build to Survive!,76929366,Build to Survive!
228,TAPPING SIMULATOR,76675125,TAPPING SIMULATOR
229,Iron Man Simulator,75547739,Iron Man Simulator
230,Prison Royale,75250328,Prison Royale
231,Weight Lifting Simulator 2,75221291,Weight Lifting Simulator 2
232,🔑 Eviction Notice,75166048,🔑 Eviction Notice
233,(NEW!) Escape The MALL Obby! (Read Desc!),74842202,(NEW!) Escape The MALL Obby! (Read Desc!)
234,Shard Seekers,74554290,Shard Seekers
235,🌈MAPS!🌈Murder Mystery 3,73588672,🌈MAPS!🌈Murder Mystery 3
236,💰 x20 MONEY 💰 🍃 LAWN MOWING SIMULATOR ⚡,73125551,💰 x20 MONEY 💰 🍃 LAWN MOWING SIMULATOR ⚡
237,Gun Simulator,72818047,Gun Simulator
238,🐾Pet Ranch Simulator 2 🐾,71398760,🐾Pet Ranch Simulator 2 🐾
239,Thick Legends,71349001,Thick Legends
240,Scuba Diving at Quill Lake 🤿,70996298,Scuba Diving at Quill Lake 🤿
241,Escape The Gym Obby!,70963694,Escape The Gym Obby!
242,The Maze,70385822,The Maze
243,💰Billionaire Simulator💰,69848546,💰Billionaire Simulator💰
244,The Mad Murderer,69337137,The Mad Murderer
245,[Golden Items!] 💪Mega Noob Simulator💪,69015140,[Golden Items!] 💪Mega Noob Simulator💪
246,[LIMITED ITEMS] Case Clicker,68969284,[LIMITED ITEMS] Case Clicker
247,Escape Room,68915014,Escape Room
248,🔨Plane Crazy🔨,68842941,🔨Plane Crazy🔨
249,Pet Simulator 2!,68831518,Pet Simulator 2!
250,Fredbear's Mega Roleplay,68637290,Fredbear's Mega Roleplay
251,Survival The Killers!,68272397,Survival The Killers!
252,Noob Train [Alpha],67787664,Noob Train [Alpha]
253,[🐲 DRAGONS] ⚔️ Slaying Simulator,67232911,[🐲 DRAGONS] ⚔️ Slaying Simulator
254,Armored Patrol v9.1,67157783,Armored Patrol v9.1
255,Hospital RP! 🏥 (VR),66685707,Hospital RP! 🏥 (VR)
256,New Escape the Haunted House Obby,66548268,New Escape the Haunted House Obby
257,💥Base Wars! [ Update 02/24 ],66368158,💥Base Wars! [ Update 02/24 ]
258,Escape North Pole Obby!,65950815,Escape North Pole Obby!
259,[Beta] One Piece: Legendary,65758520,[Beta] One Piece: Legendary
260,😱FREE PET!😱Boxing Simulator 🥊,65543193,😱FREE PET!😱Boxing Simulator 🥊
261,Trade Hangout,64944185,Trade Hangout
262,B-10 Fighting Game,64603740,B-10 Fighting Game
263,Vehicle Legends,64549833,Vehicle Legends
264,Dimension 23,64546851,Dimension 23
265,[🎮] GET THE BANANAS BACK!! Adventure Obby,64410934,[🎮] GET THE BANANAS BACK!! Adventure Obby
266,[2x XP] One Piece: Millennium 1,64069854,[2x XP] One Piece: Millennium 1
267,Driving Simulator,63497381,Driving Simulator
268,[🍦🍦 Truck] Backpacking,63381640,[🍦🍦 Truck] Backpacking
269,Emergency Response: Liberty County,63361034,Emergency Response: Liberty County
270,The Schoolhouse,62648770,The Schoolhouse
271,🏖️ SUMMER Weight Lifting Simulator 4,62578723,🏖️ SUMMER Weight Lifting Simulator 4
272,⚽ Super Striker League,62139842,⚽ Super Striker League
273,Sinking Ship,61893438,Sinking Ship
274,[Part 8!] Ronald 🤡,61516604,[Part 8!] Ronald 🤡
275,(Update) Escape Prison Obby! (READ DESC),61060559,(Update) Escape Prison Obby! (READ DESC)
276,Auto Rap Battles,60989658,Auto Rap Battles
277,SoulShatters Test Place,60550670,SoulShatters Test Place
278,2 Player Secret Hideout Tycoon,60238885,2 Player Secret Hideout Tycoon
279,[ BLEACH ] Anime Battle Arena,59818201,[ BLEACH ] Anime Battle Arena
280,[💰Gold Boost!] Giant Simulator,59615466,[💰Gold Boost!] Giant Simulator
281,Roleplay World (Classic),59384589,Roleplay World (Classic)
282,BLOODFEST [mobile fix],58855753,BLOODFEST [mobile fix]
283,Pet🐶Escape 2,58805115,Pet🐶Escape 2
284,🥚 Eg!,58455708,🥚 Eg!
285,Can you survive lava in a 100 story house?,58455549,Can you survive lava in a 100 story house?
286,🥊Boxing Simulator 2,58370392,🥊Boxing Simulator 2
287,⚔️ Anime Tycoon ⚔️,57991432,⚔️ Anime Tycoon ⚔️
288,🍦 ICE CREAM VAN SIMULATOR,57816090,🍦 ICE CREAM VAN SIMULATOR
289,[5000X] Blade Throwing Simulator,57495463,[5000X] Blade Throwing Simulator
290,🏙️Super Mansion Tycoon 2,57183229,🏙️Super Mansion Tycoon 2
291,DODGEBALL!,57012000,DODGEBALL!
292,Field of Battle,57004277,Field of Battle
293,Roblox Creator Challenge,56996754,Roblox Creator Challenge
294,The CrusheR,56707615,The CrusheR
295,⚡ Super Power Fighting Simulator,56406157,⚡ Super Power Fighting Simulator
296,Wolves' Life Dawn Beta,56364935,Wolves' Life Dawn Beta
297,Ro-Trip,56317664,Ro-Trip
298,Ragdoll System Test,56171883,Ragdoll System Test
299,The Conquerors 3,56020388,The Conquerors 3
300,2PGFT Remastered,55962399,2PGFT Remastered
301,Roblox Point - Theme Park [Classic] 🎢,55637415,Roblox Point - Theme Park [Classic] 🎢
302,[ StarPlatinum OH Event ! ] Bizarre Blox,55596503,[ StarPlatinum OH Event ! ] Bizarre Blox
303,Build to survive!,55448663,Build to survive!
304,Survival The Hulk The Killer,,Survival The Hulk The Killer
305,[Metaverse] Whatever Floats your Boat,55162820,[Metaverse] Whatever Floats your Boat
306,Murder 15,55045621,Murder 15
307,Stand Upright [testing],54981694,Stand Upright [testing]
308,[ DRAGON 🐉 ] King Legacy,54741391,[ DRAGON 🐉 ] King Legacy
309,🔨Building Simulator🏢,54451286,🔨Building Simulator🏢
310,Cruise [Story] 🛳,54399420,Cruise [Story] 🛳
311,Paradise Life,53897874,Paradise Life
312,⚡️✨ The Dropper [112+ STAGES] ✨⚡️,53649516,⚡️✨ The Dropper [112+ STAGES] ✨⚡️
313,Escape The Ice Cream Shop Obby!,53492836,Escape The Ice Cream Shop Obby!
314,[UPDATE] RPG Simulator,53113191,[UPDATE] RPG Simulator
315,🎉62M EVENT🎉 Champion Simulator,52904870,🎉62M EVENT🎉 Champion Simulator
316,Ragdoll Testing,52715841,Ragdoll Testing
317,The Creepy Elevator,52533561,The Creepy Elevator
318,Survival The Granny The Killer,52478525,Survival The Granny The Killer
319,Tower of Fun,52439673,Tower of Fun
320,Project Lazarus: 💀 ZOMBIES 💀 [CROSSBOW!],52435886,Project Lazarus: 💀 ZOMBIES 💀 [CROSSBOW!]
321,Giant Dance Off Simulator,52411386,Giant Dance Off Simulator
322,(EASY) SUPER FUN MUSIC OBBY (250 STAGES),52387581,(EASY) SUPER FUN MUSIC OBBY (250 STAGES)
323,Obstacle Paradise,52281837,Obstacle Paradise
324,Icebreaker!,51953725,Icebreaker!
325,Kingdom Life™ II,51669729,Kingdom Life™ II
326,Mansion,51510843,Mansion
327,Overlook Bay!🌋,51456796,Overlook Bay!🌋
328,Pilot Training Flight Simulator,51257339,Pilot Training Flight Simulator
329,[WINTER] Bunny's Funeral,51240161,[WINTER] Bunny's Funeral
330,Live Life Rich and Famous!,50844757,Live Life Rich and Famous!
331,Ore Tycoon 2,50483468,Ore Tycoon 2
332,The Wild West,50391593,The Wild West
333,🍕Pizza Tycoon! 2 PLAYER!,50330760,🍕Pizza Tycoon! 2 PLAYER!
334,[🏫 School!] RoVille,50207195,[🏫 School!] RoVille
335,Cart Ride Into Rdite!,50084601,Cart Ride Into Rdite!
336,Phenom,50079631,Phenom
337,Insane Elevator! *CARTOON CAT & AMONG US IMPOSTER*,49937781,Insane Elevator! *CARTOON CAT & AMONG US IMPOSTER*
338,Ninja Tycoon,49880345,Ninja Tycoon
339,Blackhawk Rescue Mission 5,49421476,Blackhawk Rescue Mission 5
340,Katana Simulator,49365618,Katana Simulator
341,[250] Cool Obby 2,49070994,[250] Cool Obby 2
342,Bed Wars! (Hit Follow!),48933007,Bed Wars! (Hit Follow!)
343,[MECHA + 2x EXP] Shindo,48814511,[MECHA + 2x EXP] Shindo
344,Military Warfare Tycoon,48800393,Military Warfare Tycoon
345,Ninja Masters,48645940,Ninja Masters
346,Tiles Hop (65M+),48542810,Tiles Hop (65M+)
347,Ben 10: Super Hero Time *BETA*,48391482,Ben 10: Super Hero Time *BETA*
348,[x500 EXP] Dragon Ball Burst,48320440,[x500 EXP] Dragon Ball Burst
349,2 Player Ninja Tycoon,47778177,2 Player Ninja Tycoon
350,(DRONE GP) AoA!!!,47534605,(DRONE GP) AoA!!!
351,Adventure Up!,46975724,Adventure Up!
352,Guest World,46738555,Guest World
353,🤑X100 STATS🤑 Speed Champions,46516764,🤑X100 STATS🤑 Speed Champions
354,My Droplets (Beta),46508022,My Droplets (Beta)
355,CRITICAL STRIKE v5.7.5,46455858,CRITICAL STRIKE v5.7.5
356,⚔️ RPG World,46415716,⚔️ RPG World
357,Overnight [Story],46091748,Overnight [Story]
358,Super Fun Easy Obstacle Course,45940454,Super Fun Easy Obstacle Course
359,Elimination Tower,45737306,Elimination Tower
360,Fart Attack,45695562,Fart Attack
361,2 Player Super Hero Tycoon,45582340,2 Player Super Hero Tycoon
362,Sword Fighting Tournament,44991009,Sword Fighting Tournament
363,Lab Experiment,44894176,Lab Experiment
364,Munching Masters 🍔,44885700,Munching Masters 🍔
365,🎨 Paint 'N Guess,44817228,🎨 Paint 'N Guess
366,Super Fun Obby 🌟 205 Stages!,44792300,Super Fun Obby 🌟 205 Stages!
367,Daycare 2 🎈 (Story),44736068,Daycare 2 🎈 (Story)
368,Vampire Hunters 2,44654420,Vampire Hunters 2
369,Big Brain Simulator🧠,44532863,Big Brain Simulator🧠
370,Roleplay Universe 🤠,44437560,Roleplay Universe 🤠
371,Moon Tycoon,44437465,Moon Tycoon
372,Gravity Shift,44381012,Gravity Shift
373,Adopt and Raise a Baby,44242776,Adopt and Raise a Baby
374,Escape School Obby!,44163348,Escape School Obby!
375,Elemental Dragons Tycoon [Poison Floor],43910224,Elemental Dragons Tycoon [Poison Floor]
376,Infection Inc. [Probes!],43350247,Infection Inc. [Probes!]
377,🔴 ROBLOX Wipeout,43228742,🔴 ROBLOX Wipeout
378,Noodle Arms,43189609,Noodle Arms
379,Framed!,43039552,Framed!
380,🦒NEW GIRAFFE PET!🦒Pet Show Dress Up!,42784887,🦒NEW GIRAFFE PET!🦒Pet Show Dress Up!
381,The Stalker: Reborn,42426894,The Stalker: Reborn
382,Azure Mines,42202411,Azure Mines
383,Electric State DarkRP(Beta),42187105,Electric State DarkRP(Beta)
384,Roblox Creator Challenge,42019412,Roblox Creator Challenge
385,Dragon Riders,42007911,Dragon Riders
386,💇‍♀️Stylz Makeover🌈,41581899,💇‍♀️Stylz Makeover🌈
387,[X3] Anime Cross 2,41455389,[X3] Anime Cross 2
388,Ro-Piece,41280690,Ro-Piece
