,game_category,game_id,game_title,user_count,positive_ratings,game_url,game_image_url
0,Up-and-Coming,1089751448,  mako mermaids!  ,180000.0,85.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=3020826586&Position=1&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.965Z,https://t6.rbxcdn.com/e2af3629506522d5a250b2862c784e96
1,Up-and-Coming,2093229603,[4 characters] friday night funkyn' rp,20000.0,81.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=5867283312&Position=2&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.966Z,https://t5.rbxcdn.com/5385e22c2ae1d6f61ef0490f2ecda7e0
2,Up-and-Coming,2577955438,[new] animal life,130.0,82.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=6792530788&Position=3&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.966Z,https://t4.rbxcdn.com/365b243bdaa1fba3e8ab70a4f7b8571a
3,Up-and-Coming,1704101737,toy tycoon,8350.0,77.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=4960108469&Position=4&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.966Z,https://t4.rbxcdn.com/2339027fd8bdaf0f2ce8b09c52e253e7
4,Up-and-Coming,220828728,fashion famous,210000.0,86.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=559159830&Position=5&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.966Z,https://t3.rbxcdn.com/f26465fc9168cb7e7de8ff4af77ab71a
5,Up-and-Coming,2455935718,food magnet simulator,30000.0,85.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=6544175281&Position=6&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.967Z,https://t4.rbxcdn.com/c5bd079391c522d641d468bcf8b9a1b7
6,Up-and-Coming,2366581908,super cool parkour obby!,240000.0,80.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=6377782077&Position=7&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.967Z,https://t0.rbxcdn.com/e590e2bba3131218377034686e1cfb8d
7,Up-and-Coming,2517823158,rainbow fun obby!,240000.0,86.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=6682002535&Position=8&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.968Z,https://t6.rbxcdn.com/1abdedca374233a99eb91778588c52a8
8,Up-and-Coming,1265527561,airplane [story] ,130000.0,87.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=3607619584&Position=9&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.968Z,https://t6.rbxcdn.com/9ef9d1d6876d46f0ba54453e556cc84c
9,Up-and-Coming,1128795217,[dogs!] welcome to farmtown! [beta],210000.0,88.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=56990668-8198-4626-b466-f9ae38a8c132&PageType=GamesSeeAll&PlaceId=3126992939&Position=10&SortPosition=2&LocalTimestamp=2021-05-24T01:57:37.969Z,https://t1.rbxcdn.com/93ebd52896535de709651d0fb518fe53
0,Popular,1686885941,brookhaven  rp,35910000.0,90.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4924922222&Position=1&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t7.rbxcdn.com/90b781012ee44ad631bb8ca902909bbf
1,Popular,994732206,[update 14] blox fruits,9220000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=2753915549&Position=2&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t0.rbxcdn.com/0f4948fe1f9d5446f2b7a1f5b833f848
2,Popular,383310974,adopt me!,14670000.0,84.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=920587237&Position=3&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t4.rbxcdn.com/593d2c3a3ed4b948c0ce1d1a1b697fc4
3,Popular,1511883870,[update + 2x exp] shindo,5140000.0,94.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4616652839&Position=4&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t4.rbxcdn.com/1da9785aae433406dcdcf76ef213a695
4,Popular,66654135,murder mystery 2,6950000.0,92.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=142823291&Position=5&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/d81d932a20464e69a91e571c4551d2b5
5,Popular,1720936166,[update!] all star tower defense,4470000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4996049426&Position=6&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t6.rbxcdn.com/e2cc36a340ade250c637afc68b031247
6,Popular,111958650,arsenal,4180000.0,88.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=286090429&Position=7&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/ace3c6ed2f6c85cc6a2934bd693ac7f0
7,Popular,1016936714,new update your bizarre adventure,310000.0,90.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=2809202155&Position=8&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t2.rbxcdn.com/8c13aad25f8dc9392b479d5b9ef21216
8,Popular,88070565,welcome to bloxburg,7060000.0,91.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=185655149&Position=9&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t6.rbxcdn.com/2525bd623e7365ccfa7c2f8c952acb91
9,Popular,2404080894,[tabi] funky friday,360000.0,91.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=6447798030&Position=10&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/b43ca52a3696902acc52cbb96d764b9f
0,Top Rated,2439513265,dream island  tycoon,270000.0,95.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=6514274883&Position=1&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.281Z,https://t4.rbxcdn.com/1d23f1d4b3d58090da89b229e35ef503
1,Top Rated,2492481398,noob army tycoon,3240000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=6610021055&Position=2&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.281Z,https://t0.rbxcdn.com/1a792445308b27a71b0e725b53d1a34e
2,Top Rated,2253490805,get a snack at 4 am,130000.0,95.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=6165106805&Position=3&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.281Z,https://t5.rbxcdn.com/97162fe039ae719efd16c7ea938ae7d6
3,Top Rated,2448558164,[ event!] lifting titans,410000.0,96.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=6531005851&Position=4&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.281Z,https://t6.rbxcdn.com/dc7552002b4a4020222d89bdfa64c9bd
4,Top Rated,2033913602,mall tycoon,560000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=5736409216&Position=5&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t2.rbxcdn.com/f3008dce8b64ac0e22b9e055a40a84d7
5,Top Rated,1691616425,my hero mania,250000.0,94.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=4934471106&Position=6&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t7.rbxcdn.com/afc0ac1c1df98b7ad8c3ecc7c9cdeeb3
6,Top Rated,2383988292,  beeface: be a bee!,780000.0,92.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=6410967163&Position=7&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t4.rbxcdn.com/1d3eb96c76eeb1e674afb3abde1e15cc
7,Top Rated,1247975681,[streaks] big paintball!,890000.0,85.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=3527629287&Position=8&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t2.rbxcdn.com/de9a80c9158e5c8de04a1888e4374b70
8,Top Rated,601130232,bee swarm simulator,1470000.0,94.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=1537690962&Position=9&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t7.rbxcdn.com/d2e9f1d187faf0bc360585ec680991fe
9,Top Rated,88070565,welcome to bloxburg,7060000.0,91.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=b49a75d6-6187-49ad-924c-286498f0b321&PageType=GamesSeeAll&PlaceId=185655149&Position=10&SortPosition=4&LocalTimestamp=2021-05-24T01:58:19.282Z,https://t6.rbxcdn.com/2525bd623e7365ccfa7c2f8c952acb91
