,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
162,1663370770,[capoeira + flow] mighty omega,Beginners Roblox Lua Scripting Tutorial - Crash Course,484397,1395,217,https://i.ytimg.com/vi/S9Mpa_0wTrM/default.jpg,https://www.youtube.com/watch?v=S9Mpa_0wTrM,2020-01-10
68,2448558164,[ 20 hours!] lifting titans,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
11,88070565,welcome to bloxburg,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
141,918677693,[updated peace treaties] rise of nations,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
70,2404080894,[kou] funky friday,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
135,2439513265,dream island  tycoon,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
16,66654135,murder mystery 2,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
133,2587756913,cart ride into toilet!,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
21,1934249057,tropical resort tycoon  ,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
77,1720936166,all star tower defense,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
